outcome,previous_outcome,day,time,month,wind_speed,weather,location,capacity,stadium_state,injury,match_type,opponent_strength
tie,loss,monday,evening,december,high,sunny,home,medium,dry,yes,friendly,average
tie,win,monday,evening,november,low,sunny,away,medium,dry,no,competitive,average
tie,win,tuesday,evening,june,no_wind,cloudy,home,medium,dry,yes,competitive,average
tie,tie,tuesday,evening,may,high,sunny,away,large,dry,no,competitive,weak
loss,tie,thursday,evening,february,high,cloudy,home,medium,dry,no,friendly,weak
win,win,monday,evening,march,low,sunny,away,medium,dry,yes,competitive,weak
tie,tie,thursday,evening,march,high,cloudy,away,small,dry,no,friendly,strong
loss,win,tuesday,evening,october,low,rainy,home,medium,dry,no,friendly,weak
tie,tie,sunday,morning,april,no_wind,sunny,home,medium,dry,yes,competitive,strong
loss,win,tuesday,evening,june,no_wind,rainy,away,medium,wet,yes,friendly,weak
win,win,saturday,afternoon,may,high,rainy,home,medium,dry,no,competitive,weak
win,win,tuesday,evening,july,high,sunny,away,medium,dry,yes,friendly,weak
win,win,saturday,afternoon,october,no_wind,cloudy,home,medium,dry,yes,competitive,weak
win,loss,tuesday,evening,february,high,snowy,away,elite,wet,no,friendly,average
tie,win,saturday,morning,october,high,sunny,away,elite,dry,yes,friendly,strong
win,win,sunday,afternoon,april,low,sunny,home,medium,dry,yes,friendly,weak
tie,tie,thursday,evening,february,low,sunny,home,medium,dry,no,friendly,weak
loss,tie,monday,evening,september,high,cloudy,home,medium,dry,yes,friendly,weak
tie,win,saturday,morning,june,no_wind,cloudy,home,medium,dry,no,competitive,weak
tie,tie,thursday,evening,october,high,sunny,away,elite,dry,yes,competitive,strong
win,win,wednesday,evening,april,low,cloudy,home,medium,dry,no,competitive,average
tie,tie,wednesday,evening,december,low,cloudy,home,medium,dry,yes,competitive,strong
tie,tie,saturday,evening,january,no_wind,snowy,home,medium,dry,no,competitive,average
loss,loss,monday,evening,september,no_wind,sunny,home,medium,dry,yes,friendly,strong
win,win,sunday,afternoon,february,no_wind,sunny,home,medium,dry,no,competitive,average
win,win,thursday,evening,june,high,cloudy,away,medium,dry,yes,friendly,weak
tie,tie,tuesday,evening,may,no_wind,sunny,away,elite,dry,no,friendly,strong
win,tie,sunday,evening,february,high,snowy,away,small,wet,yes,competitive,weak
tie,tie,tuesday,evening,august,low,cloudy,home,medium,dry,yes,competitive,strong
tie,loss,tuesday,evening,august,high,sunny,away,large,dry,no,friendly,strong
loss,win,friday,evening,february,high,sunny,home,medium,dry,yes,friendly,weak
tie,tie,saturday,morning,september,high,rainy,home,medium,dry,yes,friendly,strong
win,win,saturday,afternoon,october,high,cloudy,home,medium,dry,yes,competitive,weak
tie,loss,tuesday,evening,june,no_wind,cloudy,home,medium,dry,yes,competitive,strong
tie,win,wednesday,evening,june,no_wind,sunny,away,elite,dry,yes,friendly,weak
loss,loss,friday,evening,september,low,sunny,home,medium,dry,no,friendly,strong
tie,tie,tuesday,evening,september,high,rainy,away,elite,wet,no,friendly,average
win,loss,wednesday,evening,january,no_wind,sunny,home,medium,dry,yes,friendly,weak
tie,tie,thursday,evening,april,high,sunny,away,large,dry,yes,competitive,strong
win,tie,friday,evening,april,no_wind,rainy,home,medium,dry,no,friendly,weak
tie,tie,friday,evening,august,high,sunny,home,medium,dry,no,friendly,strong
win,win,thursday,evening,april,high,cloudy,away,large,dry,yes,friendly,weak
win,loss,sunday,afternoon,august,no_wind,sunny,home,medium,dry,no,friendly,average
tie,tie,friday,evening,march,low,cloudy,away,large,dry,yes,friendly,strong
tie,loss,saturday,afternoon,may,low,rainy,away,medium,wet,yes,competitive,average
win,win,saturday,evening,august,no_wind,sunny,away,medium,dry,yes,friendly,weak
tie,tie,wednesday,evening,april,low,sunny,home,medium,dry,no,competitive,strong
tie,tie,friday,evening,august,no_wind,sunny,home,medium,dry,no,competitive,strong
tie,tie,saturday,afternoon,september,low,cloudy,home,medium,dry,no,friendly,strong
win,win,saturday,afternoon,august,high,sunny,home,medium,dry,yes,competitive,weak
win,win,wednesday,evening,march,high,sunny,away,large,dry,no,friendly,weak
loss,tie,saturday,afternoon,december,high,cloudy,home,medium,dry,no,friendly,average
win,loss,friday,evening,april,high,cloudy,home,medium,dry,no,competitive,average
win,win,monday,evening,may,low,rainy,home,medium,dry,yes,friendly,weak
loss,tie,friday,evening,december,no_wind,sunny,away,large,dry,yes,friendly,strong
tie,tie,monday,evening,may,low,rainy,home,medium,dry,no,competitive,strong
tie,loss,friday,evening,november,no_wind,snowy,away,large,wet,no,competitive,average
tie,tie,tuesday,evening,august,low,cloudy,away,medium,dry,yes,competitive,strong
win,win,thursday,evening,december,low,cloudy,away,elite,dry,yes,competitive,weak
win,loss,sunday,afternoon,october,low,sunny,away,medium,dry,yes,friendly,weak
tie,win,wednesday,evening,december,no_wind,cloudy,home,medium,dry,no,competitive,average
win,win,tuesday,evening,august,high,sunny,home,medium,dry,no,competitive,average
win,loss,friday,evening,february,high,cloudy,home,medium,dry,yes,competitive,average
tie,tie,wednesday,evening,june,high,sunny,away,small,dry,no,friendly,average
win,loss,sunday,afternoon,september,low,sunny,away,medium,dry,yes,friendly,weak
win,win,monday,evening,october,low,rainy,away,large,wet,yes,friendly,weak
tie,tie,saturday,evening,april,no_wind,rainy,away,large,wet,yes,friendly,strong
tie,loss,friday,evening,december,high,snowy,away,small,wet,yes,competitive,average
win,win,saturday,afternoon,october,low,cloudy,away,elite,wet,no,competitive,weak
win,win,wednesday,evening,january,no_wind,cloudy,home,medium,dry,no,friendly,weak
win,win,monday,evening,august,no_wind,sunny,away,small,dry,yes,friendly,weak
tie,tie,saturday,afternoon,october,high,cloudy,away,medium,dry,yes,friendly,strong
loss,tie,saturday,afternoon,january,high,sunny,away,medium,dry,yes,friendly,average
win,loss,monday,evening,august,high,rainy,away,large,wet,no,competitive,average
tie,tie,friday,evening,april,high,sunny,home,medium,dry,no,friendly,strong
win,tie,friday,evening,april,high,rainy,away,small,wet,no,competitive,strong
tie,tie,tuesday,evening,march,no_wind,sunny,away,small,dry,no,friendly,average
tie,loss,saturday,evening,august,high,rainy,home,medium,dry,no,competitive,strong
win,win,sunday,afternoon,november,low,cloudy,home,medium,dry,yes,friendly,weak
win,win,wednesday,evening,february,low,snowy,home,medium,dry,yes,competitive,weak
loss,win,saturday,afternoon,july,high,sunny,home,medium,dry,no,competitive,average
win,win,saturday,afternoon,september,low,cloudy,away,elite,dry,yes,competitive,weak
tie,tie,thursday,evening,march,high,rainy,away,small,wet,no,competitive,strong
win,win,thursday,evening,december,low,sunny,away,elite,dry,yes,friendly,weak
tie,win,wednesday,evening,june,high,sunny,away,large,dry,yes,friendly,average
tie,win,wednesday,evening,march,no_wind,sunny,home,medium,dry,yes,competitive,strong
tie,tie,wednesday,evening,december,high,snowy,home,medium,dry,no,friendly,strong
tie,tie,wednesday,evening,april,low,sunny,home,medium,dry,yes,friendly,strong
win,win,friday,evening,november,no_wind,cloudy,home,medium,dry,yes,friendly,weak
tie,win,wednesday,evening,february,no_wind,cloudy,home,medium,dry,yes,competitive,average
tie,tie,wednesday,evening,june,no_wind,cloudy,away,medium,dry,yes,competitive,average
tie,tie,monday,evening,september,high,cloudy,home,medium,dry,no,friendly,strong
win,win,saturday,morning,january,no_wind,sunny,home,medium,dry,yes,competitive,weak
tie,win,saturday,afternoon,april,low,cloudy,away,large,dry,yes,friendly,strong
tie,tie,thursday,evening,july,low,sunny,away,elite,dry,yes,friendly,strong
loss,win,sunday,evening,march,low,cloudy,away,medium,dry,no,competitive,weak
win,win,tuesday,evening,october,low,cloudy,home,medium,dry,no,friendly,weak
win,win,tuesday,evening,july,low,sunny,home,medium,dry,yes,competitive,average
win,win,sunday,afternoon,october,no_wind,rainy,away,small,wet,yes,friendly,weak
loss,loss,friday,evening,march,low,cloudy,home,medium,dry,yes,friendly,average
win,win,saturday,afternoon,september,no_wind,cloudy,home,medium,dry,no,friendly,weak
win,loss,wednesday,evening,september,no_wind,cloudy,home,medium,dry,no,friendly,strong
loss,tie,tuesday,evening,april,low,rainy,home,medium,dry,yes,competitive,average
win,loss,saturday,afternoon,october,low,cloudy,home,medium,dry,no,friendly,average
loss,loss,sunday,morning,august,high,sunny,away,medium,dry,no,friendly,average
tie,tie,friday,evening,january,high,cloudy,away,large,dry,no,competitive,strong
win,win,sunday,morning,october,high,sunny,home,medium,dry,no,friendly,weak
loss,tie,tuesday,evening,october,high,cloudy,home,medium,dry,yes,competitive,average
win,tie,saturday,evening,january,no_wind,sunny,home,medium,dry,no,friendly,weak
tie,win,wednesday,evening,january,no_wind,snowy,away,medium,wet,no,friendly,weak
win,win,tuesday,evening,april,high,sunny,away,elite,dry,no,friendly,weak
tie,tie,sunday,morning,september,no_wind,cloudy,away,medium,dry,no,competitive,strong
win,loss,thursday,evening,february,no_wind,snowy,home,medium,dry,no,competitive,weak
tie,tie,friday,evening,august,low,sunny,home,medium,dry,no,competitive,average
win,win,wednesday,evening,april,no_wind,sunny,home,medium,dry,no,friendly,weak
tie,tie,tuesday,evening,september,no_wind,rainy,home,medium,dry,no,friendly,strong
tie,tie,monday,evening,july,low,rainy,home,medium,dry,no,competitive,strong
win,loss,thursday,evening,june,high,sunny,home,medium,dry,no,competitive,average
tie,win,saturday,morning,june,low,cloudy,away,large,dry,no,friendly,average
win,win,monday,evening,march,high,sunny,home,medium,dry,yes,competitive,weak
tie,tie,sunday,morning,february,no_wind,cloudy,away,medium,dry,yes,friendly,strong
tie,win,monday,evening,april,low,rainy,away,large,wet,no,friendly,strong
tie,tie,thursday,evening,december,high,snowy,away,elite,wet,no,competitive,strong
loss,tie,saturday,morning,august,low,cloudy,home,medium,dry,no,competitive,average
loss,win,tuesday,evening,june,no_wind,cloudy,away,large,dry,no,friendly,weak
tie,tie,friday,evening,january,low,snowy,away,medium,wet,yes,competitive,average
win,win,tuesday,evening,march,low,cloudy,away,medium,dry,no,friendly,average
tie,tie,wednesday,evening,july,high,sunny,home,medium,dry,no,friendly,strong
win,win,friday,evening,august,no_wind,rainy,away,small,wet,no,competitive,weak
tie,win,monday,evening,december,low,cloudy,away,elite,dry,no,friendly,strong
tie,win,monday,evening,november,low,snowy,away,large,wet,yes,friendly,strong
tie,tie,wednesday,evening,april,low,rainy,away,elite,wet,yes,competitive,strong
tie,win,tuesday,evening,march,high,cloudy,home,medium,dry,no,competitive,average
tie,win,wednesday,evening,december,high,sunny,home,medium,dry,yes,competitive,average
tie,loss,tuesday,evening,january,high,rainy,away,elite,wet,no,competitive,strong
win,win,friday,evening,september,high,sunny,home,medium,dry,no,competitive,weak
win,win,wednesday,evening,october,no_wind,rainy,away,small,wet,yes,friendly,weak
win,win,saturday,evening,june,low,cloudy,home,medium,dry,no,friendly,weak
tie,tie,thursday,evening,march,high,cloudy,away,large,wet,yes,competitive,strong
tie,win,thursday,evening,june,no_wind,cloudy,away,elite,dry,yes,competitive,average
tie,tie,wednesday,evening,november,no_wind,sunny,home,medium,dry,no,competitive,strong
tie,loss,monday,evening,august,low,rainy,away,small,wet,no,friendly,strong
win,win,monday,evening,may,high,cloudy,home,medium,dry,yes,friendly,weak
tie,tie,sunday,afternoon,september,high,cloudy,away,large,dry,yes,friendly,strong
win,loss,saturday,afternoon,february,no_wind,snowy,home,medium,dry,no,competitive,weak
tie,loss,friday,evening,may,high,rainy,away,elite,wet,no,friendly,strong
loss,tie,thursday,evening,november,high,sunny,home,medium,dry,no,friendly,average
win,win,tuesday,evening,may,low,sunny,away,medium,dry,yes,competitive,weak
tie,tie,friday,evening,november,no_wind,snowy,away,small,wet,yes,friendly,strong
tie,tie,tuesday,evening,september,no_wind,cloudy,home,medium,dry,no,competitive,strong
loss,loss,thursday,evening,september,low,sunny,away,large,dry,yes,competitive,average
tie,loss,wednesday,evening,october,high,sunny,home,medium,dry,no,friendly,average
loss,win,thursday,evening,february,no_wind,sunny,home,medium,dry,yes,friendly,average
win,tie,friday,evening,october,high,cloudy,home,medium,dry,no,friendly,strong
tie,tie,monday,evening,november,low,cloudy,away,medium,wet,yes,competitive,strong
tie,tie,sunday,evening,march,no_wind,sunny,home,medium,dry,yes,friendly,strong
tie,tie,friday,evening,april,high,sunny,away,elite,dry,no,friendly,strong
tie,tie,saturday,afternoon,august,high,cloudy,home,medium,dry,no,friendly,strong
win,tie,tuesday,evening,january,low,sunny,away,large,dry,no,friendly,average
win,loss,friday,evening,march,low,sunny,away,elite,dry,no,friendly,weak
win,loss,wednesday,evening,april,no_wind,rainy,home,medium,dry,yes,friendly,average
win,win,monday,evening,march,low,cloudy,away,small,wet,yes,competitive,weak
win,tie,thursday,evening,december,low,snowy,away,large,wet,yes,friendly,weak
win,win,saturday,evening,november,no_wind,cloudy,away,medium,dry,yes,competitive,weak
loss,win,sunday,afternoon,november,no_wind,cloudy,home,medium,dry,no,competitive,weak
tie,tie,wednesday,evening,september,low,cloudy,away,large,dry,no,competitive,strong
tie,win,wednesday,evening,july,no_wind,sunny,home,medium,dry,no,friendly,average
loss,tie,wednesday,evening,december,low,snowy,away,large,wet,no,competitive,weak
loss,tie,friday,evening,january,low,cloudy,away,medium,dry,no,friendly,strong
loss,win,tuesday,evening,october,no_wind,cloudy,away,medium,wet,yes,competitive,weak
tie,win,friday,evening,june,no_wind,cloudy,away,large,dry,no,competitive,strong
tie,tie,monday,evening,june,high,sunny,away,medium,dry,yes,friendly,strong
win,win,friday,evening,april,high,sunny,away,large,dry,yes,competitive,weak
tie,tie,saturday,afternoon,march,low,sunny,home,medium,dry,no,friendly,strong
win,win,wednesday,evening,january,high,cloudy,away,large,wet,no,friendly,weak
win,win,sunday,afternoon,january,no_wind,sunny,home,medium,dry,no,friendly,weak
tie,loss,thursday,evening,june,high,cloudy,away,medium,dry,no,friendly,average
win,win,friday,evening,january,high,snowy,away,elite,wet,yes,competitive,weak
tie,tie,sunday,evening,july,low,cloudy,home,medium,dry,no,competitive,strong
tie,tie,wednesday,evening,march,low,sunny,home,medium,dry,no,friendly,strong
win,win,wednesday,evening,january,high,sunny,home,medium,dry,yes,friendly,weak
win,loss,thursday,evening,october,high,sunny,home,medium,dry,yes,competitive,average
win,win,wednesday,evening,september,no_wind,cloudy,away,medium,dry,no,friendly,weak
tie,tie,tuesday,evening,november,high,sunny,away,small,dry,yes,competitive,strong
tie,win,sunday,afternoon,march,high,cloudy,away,large,dry,yes,competitive,strong
loss,loss,monday,evening,december,high,sunny,home,medium,dry,no,competitive,average
loss,tie,saturday,afternoon,september,low,cloudy,home,medium,dry,yes,competitive,strong
tie,tie,sunday,afternoon,september,high,cloudy,home,medium,dry,no,friendly,strong
tie,tie,tuesday,evening,june,high,cloudy,away,small,dry,yes,friendly,strong
win,win,monday,evening,september,low,sunny,home,medium,dry,yes,competitive,average
tie,tie,friday,evening,august,low,rainy,home,medium,dry,yes,competitive,strong
tie,win,sunday,afternoon,april,low,sunny,away,elite,dry,yes,friendly,average
